Comunidad autónoma	Masa corporal	Periodo	Total
18 Ceuta	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2014	35
18 Ceuta	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2012	34,8
18 Ceuta	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2009	33,1
18 Ceuta	Obesidad (IMC >= 30 kg/m2)	2023	15,7
18 Ceuta	Obesidad (IMC >= 30 kg/m2)	2022	21,5
18 Ceuta	Obesidad (IMC >= 30 kg/m2)	2020	13,5
18 Ceuta	Obesidad (IMC >= 30 kg/m2)	2017	24,1
18 Ceuta	Obesidad (IMC >= 30 kg/m2)	2014	18,2
18 Ceuta	Obesidad (IMC >= 30 kg/m2)	2012	24,9
18 Ceuta	Obesidad (IMC >= 30 kg/m2)	2009	11,4
19 Melilla	Peso insuficiente (IMC < 18,5 kg/m2)	2023	1,1
19 Melilla	Peso insuficiente (IMC < 18,5 kg/m2)	2022	2,9
19 Melilla	Peso insuficiente (IMC < 18,5 kg/m2)	2020	1,1
19 Melilla	Peso insuficiente (IMC < 18,5 kg/m2)	2017	0,6
19 Melilla	Peso insuficiente (IMC < 18,5 kg/m2)	2014	0,6
19 Melilla	Peso insuficiente (IMC < 18,5 kg/m2)	2012	0
19 Melilla	Peso insuficiente (IMC < 18,5 kg/m2)	2009	1,2
19 Melilla	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2023	51,3
19 Melilla	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2022	52,5
19 Melilla	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2020	45,5
19 Melilla	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2017	39,1
19 Melilla	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2014	33,1
19 Melilla	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2012	54,8
19 Melilla	Normopeso (18,5 kg/m2 <= IMC < 25 kg/m2)	2009	39,4
19 Melilla	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2023	38,3
19 Melilla	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2022	30,5
19 Melilla	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2020	46,7
19 Melilla	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2017	40,5
19 Melilla	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2014	46,8
19 Melilla	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2012	32,4
19 Melilla	Sobrepeso (25 kg/m2 <= IMC < 30 kg/m2)	2009	39,6
19 Melilla	Obesidad (IMC >= 30 kg/m2)	2023	9,3
19 Melilla	Obesidad (IMC >= 30 kg/m2)	2022	14
19 Melilla	Obesidad (IMC >= 30 kg/m2)	2020	6,8
19 Melilla	Obesidad (IMC >= 30 kg/m2)	2017	19,7
19 Melilla	Obesidad (IMC >= 30 kg/m2)	2014	19,4
19 Melilla	Obesidad (IMC >= 30 kg/m2)	2012	12,8
19 Melilla	Obesidad (IMC >= 30 kg/m2)	2009	19,8
